state,year,party,source,retrieved,override
South Carolina,2014,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2015,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2016,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2017,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2018,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2019,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2020,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2021,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2022,Republican,List of governors of South Carolina,2026-08-13,no
South Carolina,2023,Republican,List of governors of South Carolina,2026-08-13,no
South Dakota,2014,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2015,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2016,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2017,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2018,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2019,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2020,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2021,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2022,Republican,List of governors of South Dakota,2026-08-13,no
South Dakota,2023,Republican,List of governors of South Dakota,2026-08-13,no
Tennessee,2014,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2015,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2016,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2017,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2018,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2019,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2020,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2021,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2022,Republican,List of governors of Tennessee,2026-08-13,no
Tennessee,2023,Republican,List of governors of Tennessee,2026-08-13,no
Texas,2014,Republican,List of governors of Texas,2026-08-13,no
Texas,2015,Republican,List of governors of Texas,2026-08-13,no
Texas,2016,Republican,List of governors of Texas,2026-08-13,no
Texas,2017,Republican,List of governors of Texas,2026-08-13,no
Texas,2018,Republican,List of governors of Texas,2026-08-13,no
Texas,2019,Republican,List of governors of Texas,2026-08-13,no
Texas,2020,Republican,List of governors of Texas,2026-08-13,no
Texas,2021,Republican,List of governors of Texas,2026-08-13,no
Texas,2022,Republican,List of governors of Texas,2026-08-13,no
Texas,2023,Republican,List of governors of Texas,2026-08-13,no
Utah,2014,Republican,List of governors of Utah,2026-08-13,no
Utah,2015,Republican,List of governors of Utah,2026-08-13,no
Utah,2016,Republican,List of governors of Utah,2026-08-13,no
