state,year,party,source,retrieved,override
Utah,2017,Republican,List of governors of Utah,2026-08-13,no
Utah,2018,Republican,List of governors of Utah,2026-08-13,no
Utah,2019,Republican,List of governors of Utah,2026-08-13,no
Utah,2020,Republican,List of governors of Utah,2026-08-13,no
Utah,2021,Republican,List of governors of Utah,2026-08-13,no
Utah,2022,Republican,List of governors of Utah,2026-08-13,no
Utah,2023,Republican,List of governors of Utah,2026-08-13,no
Vermont,2014,Democratic,List of governors of Vermont,2026-08-13,no
Vermont,2015,Democratic,List of governors of Vermont,2026-08-13,no
Vermont,2016,Democratic,List of governors of Vermont,2026-08-13,no
Vermont,2017,Republican,List of governors of Vermont,2026-08-13,no
Vermont,2018,Republican,List of governors of Vermont,2026-08-13,no
Vermont,2019,Republican,List of governors of Vermont,2026-08-13,no
Vermont,2020,Republican,List of governors of Vermont,2026-08-13,no
Vermont,2021,Republican,List of governors of Vermont,2026-08-13,no
Vermont,2022,Republican,List of governors of Vermont,2026-08-13,no
Vermont,2023,Republican,List of governors of Vermont,2026-08-13,no
Washington,2014,Democratic,List of governors of Washington,2026-08-13,no
Washington,2015,Democratic,List of governors of Washington,2026-08-13,no
Washington,2016,Democratic,List of governors of Washington,2026-08-13,no
Washington,2017,Democratic,List of governors of Washington,2026-08-13,no
Washington,2018,Democratic,List of governors of Washington,2026-08-13,no
Washington,2019,Democratic,List of governors of Washington,2026-08-13,no
Washington,2020,Democratic,List of governors of Washington,2026-08-13,no
Washington,2021,Democratic,List of governors of Washington,2026-08-13,no
Washington,2022,Democratic,List of governors of Washington,2026-08-13,no
Washington,2023,Democratic,List of governors of Washington,2026-08-13,no
West Virginia,2014,Democratic,List of governors of West Virginia,2026-08-13,no
West Virginia,2015,Democratic,List of governors of West Virginia,2026-08-13,no
West Virginia,2016,Democratic,List of governors of West Virginia,2026-08-13,no
West Virginia,2017,Democratic,List of governors of West Virginia,2026-08-13,no
West Virginia,2018,Republican,List of governors of West Virginia,2026-08-13,yes
West Virginia,2019,Republican,List of governors of West Virginia,2026-08-13,yes
West Virginia,2020,Republican,List of governors of West Virginia,2026-08-13,yes
West Virginia,2021,Republican,List of governors of West Virginia,2026-08-13,yes
West Virginia,2022,Republican,List of governors of West Virginia,2026-08-13,yes
West Virginia,2023,Republican,List of governors of West Virginia,2026-08-13,yes
Wisconsin,2014,Republican,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2015,Republican,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2016,Republican,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2017,Republican,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2018,Republican,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2019,Democratic,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2020,Democratic,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2021,Democratic,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2022,Democratic,List of governors of Wisconsin,2026-08-13,no
Wisconsin,2023,Democratic,List of governors of Wisconsin,2026-08-13,no
Wyoming,2014,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2015,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2016,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2017,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2018,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2019,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2020,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2021,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2022,Republican,List of governors of Wyoming,2026-08-13,no
Wyoming,2023,Republican,List of governors of Wyoming,2026-08-13,no
Minnesota,2014,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2015,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2016,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2017,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2018,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2019,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2020,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2021,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2022,Democratic,List of governors of Minnesota,2026-08-13,no
Minnesota,2023,Democratic,List of governors of Minnesota,2026-08-13,no
