state,year,ag_party,ag_selection,senate_control,house_control,legislature_control,governor_party_check,source,retrieved,parser
Arizona,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arizona,2026-09-02,7c721b046b7b
Arizona,2023,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Arizona,2026-09-02,7c721b046b7b
Arkansas,2014,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2019,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
Arkansas,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Arkansas,2026-09-02,7c721b046b7b
California,2014,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2015,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2016,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2017,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2018,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2019,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2020,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2021,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2022,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
California,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in California,2026-09-02,7c721b046b7b
Colorado,2014,Republican,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2015,Republican,Elected,Republican,Democratic,Split,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2016,Republican,Elected,Republican,Democratic,Split,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2017,Republican,Elected,Republican,Democratic,Split,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2018,Republican,Elected,Republican,Democratic,Split,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2019,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2020,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2021,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2022,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Colorado,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Colorado,2026-09-02,7c721b046b7b
Connecticut,2014,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2015,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2016,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2017,Democratic,Elected,Split,Democratic,Split,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2018,Democratic,Elected,Split,Democratic,Split,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2019,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2020,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2021,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2022,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Connecticut,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Connecticut,2026-09-02,7c721b046b7b
Delaware,2014,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2015,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2016,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2017,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2018,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2019,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2020,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2021,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2022,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Delaware,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Delaware,2026-09-02,7c721b046b7b
Florida,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2019,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Florida,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Florida,2026-09-02,7c721b046b7b
Georgia,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2019,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Georgia,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Georgia (U.S. state),2026-09-02,7c721b046b7b
Idaho,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2019,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Idaho,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Idaho,2026-09-02,7c721b046b7b
Illinois,2014,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2015,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2016,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2017,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2018,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2019,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2020,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2021,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2022,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Illinois,2026-09-02,7c721b046b7b
Illinois,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Illinois,2026-09-02,7c721b046b7b
Indiana,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2019,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Indiana,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Indiana,2026-09-02,7c721b046b7b
Iowa,2014,Democratic,Elected,Democratic,Republican,Split,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2015,Democratic,Elected,Democratic,Republican,Split,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2016,Democratic,Elected,Democratic,Republican,Split,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2017,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2018,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2019,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2020,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2021,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2022,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Iowa,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Iowa,2026-09-02,7c721b046b7b
Kansas,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2019,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2020,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2021,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2022,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kansas,2023,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kansas,2026-09-02,7c721b046b7b
Kentucky,2014,Democratic,Elected,Republican,Democratic,Split,Democratic,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2015,Democratic,Elected,Republican,Democratic,Split,Democratic,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2016,Democratic,Elected,Republican,Democratic,Split,Republican,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2017,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2018,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2019,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2020,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2021,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2022,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Kentucky,2023,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Kentucky,2026-09-02,7c721b046b7b
Louisiana,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2016,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2017,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2018,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2019,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2020,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2021,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2022,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Louisiana,2023,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Louisiana,2026-09-02,7c721b046b7b
Maryland,2014,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2015,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2016,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2017,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2018,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2019,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2020,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2021,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2022,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Maryland,2026-09-02,7c721b046b7b
Maryland,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Maryland,2026-09-02,7c721b046b7b
Massachusetts,2014,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2015,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2016,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2017,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2018,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2019,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2020,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2021,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2022,Democratic,Elected,Democratic,Democratic,Democratic,Republican,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Massachusetts,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Massachusetts,2026-09-02,7c721b046b7b
Michigan,2014,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2015,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2016,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2019,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2020,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2021,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2022,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Michigan,2026-09-02,7c721b046b7b
Michigan,2023,Democratic,Elected,Democratic,Democratic,Democratic,Democratic,Political party strength in Michigan,2026-09-02,7c721b046b7b
Minnesota,2014,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2015,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2016,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2017,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2018,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2019,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2020,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2021,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2022,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Minnesota,2023,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Minnesota,2026-09-02,7c721b046b7b
Mississippi,2014,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2015,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2016,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2017,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2018,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2019,Democratic,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Mississippi,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Mississippi,2026-09-02,7c721b046b7b
Missouri,2014,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2015,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2016,Democratic,Elected,Republican,Republican,Republican,Democratic,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2017,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2018,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2019,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2020,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2021,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2022,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Missouri,2023,Republican,Elected,Republican,Republican,Republican,Republican,Political party strength in Missouri,2026-09-02,7c721b046b7b
Montana,2014,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Montana,2026-09-02,7c721b046b7b
Montana,2015,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Montana,2026-09-02,7c721b046b7b
Montana,2016,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Montana,2026-09-02,7c721b046b7b
Montana,2017,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Montana,2026-09-02,7c721b046b7b
Montana,2018,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Montana,2026-09-02,7c721b046b7b
Montana,2019,Republican,Elected,Republican,Republican,Republican,Democratic,Political party strength in Montana,2026-09-02,7c721b046b7b
