state,firearm_mortality_rate,gun_reg_pct,poverty_rate,suicide_rate,homicide_rate,accident_mortality_rate,credit_score,median_household_income,gov_party,pop_density,population,mass_shootings_count,mass_shooting_fatalities,mass_shootings_per_10m,gov_party_rep,firearm_mortality_rate_crude,firearm_homicide_rate,firearm_suicide_rate,pct_male,pct_age_15_34,pct_age_65_plus,pct_black,pct_hispanic,pct_white_nh,pct_rural,pct_alcohol_use,pct_binge_alcohol,pct_marijuana_use,pct_cigarette_use,pct_nicotine_vaping,pct_tobacco_any,pct_alcohol_use_disorder,pct_drug_use_disorder,pct_substance_use_disorder,pct_serious_thoughts_suicide,pct_suicide_plans,pct_suicide_attempts,pct_any_mental_illness,pct_major_depressive_episode
Minnesota,8.9,0.013704318362787817,8.3,13.1,3.6,52.6,739.0,61492,democrat,74.0,5863405,0.0,0.0,0.0,0,9.0,2.4,6.2,50.13939044348926,25.97623217824886,16.30899709276364,7.252155561135842,6.070243677610217,78.21789668226229,26.72764038,51.95,23.32,17.64,12.75,9.5,15.67,11.4,9.7,18.32,4.94,1.48,0.63,23.74,8.99
Mississippi,28.6,0.01199091239242249,18.7,13.9,20.5,73.0,675.0,39665,republican,63.0,2958148,0.0,0.0,0.0,1,27.6,16.9,9.4,48.606666623850856,26.596491560159528,16.430013564723474,37.94336753302197,3.5596836002053807,56.03410481782607,50.65461934,38.49,19.54,11.27,20.19,11.59,25.72,9.37,10.18,15.7,4.18,1.36,0.73,20.47,7.54
Missouri,23.9,0.011796168491483103,12.1,18.2,14.0,68.4,707.0,48173,republican,92.0,6297538,1.0,4.0,1.5879221371907561,1,23.2,11.1,11.4,49.37787861938709,26.25019782510993,17.137877683475274,11.871293927329695,4.943385459505078,78.43329337293193,29.56382671,48.48,22.16,18.56,18.89,10.04,24.14,11.34,10.75,19.75,5.68,1.55,0.71,26.08,9.64
Montana,20.9,0.020062781740539003,12.4,26.1,6.6,61.9,726.0,47169,republican,7.9,1151831,1.0,4.0,8.681829191956112,1,21.9,3.0,17.4,50.69466736447663,25.52623179861131,19.324399771525492,0.604298521630116,4.233952746982876,85.66028121496196,44.1069723,51.75,22.94,21.97,14.44,8.78,19.34,10.97,11.5,20.23,5.49,1.73,0.6,24.6,9.51
Nebraska,10.1,0.011181090007925429,9.2,14.9,4.1,42.3,728.0,52997,republican,26.0,2030421,0.0,0.0,0.0,1,10.0,2.5,7.1,50.26213878558917,26.847157781928445,16.01193517152225,5.307005189802946,12.014375993557696,77.47852692926557,26.86546488,50.79,23.63,11.25,12.39,9.09,16.78,11.33,8.13,16.24,5.7,1.55,0.58,24.43,10.13
Nevada,17.0,0.024137430911909428,12.5,18.2,7.3,53.5,695.0,51847,democrat,30.0,3310833,3.0,66.0,9.061163761506545,0,17.6,4.7,11.9,50.41032273800965,26.30212077641984,16.259531940022594,10.48067294854678,28.770636489678548,47.97942127965493,5.80451915,47.42,22.67,20.88,15.64,9.23,18.04,12.17,12.17,21.32,5.6,1.54,0.56,23.16,9.84
New Hampshire,8.9,0.04614888673501034,7.0,16.4,,58.1,729.0,66779,republican,159.0,1422166,0.0,0.0,0.0,1,9.3,,8.6,49.85979566287711,25.166859843533988,18.786873450535357,1.881697422648259,4.35039624226265,89.30834944752382,39.69691675,58.87,23.95,16.96,12.75,9.39,16.61,11.6,9.81,18.51,5.81,1.68,0.7,26.93,10.47
New Jersey,5.0,0.006125315734904746,9.4,7.1,4.3,50.3,721.0,72093,democrat,1304.0,9590076,1.0,4.0,1.0427446039009494,0,4.8,2.7,2.0,49.19849160820638,25.171746405889657,16.355509991380863,15.244167847951209,21.614843289627963,53.60501367931813,5.32044631,50.02,22.02,13.66,10.42,7.41,13.13,9.39,8.11,14.91,4.73,1.2,0.54,19.69,6.84
New Mexico,22.7,0.045829634743728836,16.8,24.2,10.8,85.5,694.0,44963,democrat,18.0,2124222,1.0,3.0,4.707605890533099,0,22.6,7.0,14.3,49.741088927574765,26.55044541201083,18.314146693302018,2.7217996986530015,47.84029930780821,37.79412486641416,22.5729769,44.81,21.1,23.97,16.03,10.86,19.28,10.35,14.03,21.26,5.49,1.65,0.71,24.88,9.84
New York,5.3,0.003741895942718701,12.7,8.0,4.7,41.7,718.0,59269,democrat,424.0,20003435,3.0,19.0,1.4997424192394955,0,5.2,2.8,2.3,48.83876464768704,26.92328315106261,16.794318346297956,17.795670765706145,19.56381862757533,54.56898905778795,12.12707519,49.59,22.57,16.19,12.6,7.94,15.7,9.97,9.27,17.04,4.8,1.29,0.56,21.29,7.92
North Carolina,16.0,0.014334801483366365,12.9,13.2,8.6,67.1,703.0,46868,democrat,233.0,11343875,2.0,8.0,1.7630659717248294,0,16.3,7.1,8.4,48.98367217623581,26.59902435590003,16.544778115389867,22.137388734367903,10.73662889671251,61.716348065184256,33.91256636,45.27,20.8,11.68,15.58,8.96,20.45,9.61,8.02,15.29,4.45,1.35,0.64,21.32,8.69
North Dakota,13.8,0.01658183344702734,10.2,18.2,4.4,51.9,730.0,57181,republican,12.0,805329,0.0,0.0,0.0,1,12.8,2.2,9.9,51.41354835978619,29.074622577007887,15.77781398039671,3.4806680152854867,4.355773683461119,83.68996476230915,40.10148813,54.77,25.14,12.36,16.39,9.93,21.38,10.8,8.11,17.1,5.45,1.78,0.68,23.53,9.4
Ohio,15.2,0.014630819548641262,12.6,13.8,9.1,78.2,711.0,49429,republican,292.0,11940399,3.0,15.0,2.512478854349842,1,15.0,7.0,7.7,49.33118285256883,26.00091606479989,17.4373036368315,13.188917514501252,4.437582999301934,77.74574489256581,22.07609862,48.51,23.74,15.68,18.72,10.95,23.46,11.0,10.44,18.37,5.27,1.79,0.74,23.37,9.14
Oklahoma,20.7,0.017813006051308276,14.3,21.9,9.0,62.0,690.0,46879,republican,60.0,4148818,1.0,4.0,2.4103250612584115,1,20.8,6.8,13.6,49.83713445410787,27.335864667759836,15.86486446953698,7.842462765123067,11.974930105007674,64.0258052866489,33.75642535,40.53,18.97,20.07,19.11,11.27,24.54,9.39,11.46,18.43,5.33,1.5,0.68,22.2,9.24
Oregon,13.0,0.01421398951300593,11.0,18.3,3.8,52.0,727.0,51243,democrat,45.0,4281848,1.0,9.0,2.335440211796402,0,13.9,2.6,10.7,49.88447705135683,26.21223714053376,18.151873101904243,2.2432747457976876,13.958489005060962,74.41972332913393,18.9683624,52.16,20.23,22.33,14.71,9.17,18.57,11.73,12.74,21.55,6.62,1.68,0.64,30.16,11.78
Pennsylvania,13.6,0.018095481170753755,10.9,12.6,8.5,69.0,720.0,53599,democrat,292.0,13073016,5.0,26.0,3.824672133806002,0,13.5,6.1,7.1,49.301422333324126,25.62510787407034,18.618462408113224,12.112837412585934,8.1169779300906,75.24711867059594,21.34318304,51.58,22.33,14.33,15.47,8.24,20.16,10.05,9.42,17.31,5.34,1.42,0.59,24.39,9.22
Rhode Island,5.1,0.03358096644705385,10.6,8.5,3.0,65.6,719.0,56852,democrat,1082.0,1118627,1.0,3.0,8.939530334955263,0,4.9,2.0,2.7,49.009525338275374,27.55881741338363,17.698760721021774,8.722743706016905,16.675543849024667,70.94990715440096,9.26534843,54.92,25.67,18.32,14.29,9.23,17.11,12.59,11.69,21.78,5.48,1.54,0.57,24.37,9.44
South Carolina,22.0,0.020241566237693926,13.8,16.3,12.7,77.8,,45483,republican,188.0,5650232,1.0,9.0,1.7698388313966578,1,22.0,10.3,11.0,48.699346531308215,25.849590162097723,18.126298310396557,26.72522690778194,6.893639723383041,62.92837057989915,33.67421461,47.86,20.52,11.89,16.68,10.18,20.6,10.09,9.48,16.86,4.45,1.36,0.64,20.52,7.61
South Dakota,13.6,0.023447426386954663,11.6,21.0,6.5,58.5,731.0,50957,republican,12.0,943078,0.0,0.0,0.0,1,13.5,2.9,9.9,50.80599018755378,25.87942585025432,17.28137121952758,2.4211242414276253,4.393412415582778,81.44589413550906,43.34827679,49.84,23.3,11.85,16.54,10.84,20.69,11.33,8.44,17.51,5.96,1.95,0.67,24.14,9.27
Tennessee,21.3,0.014117595804429176,13.6,17.2,11.5,86.5,697.0,45219,republican,179.0,7378861,3.0,15.0,4.065668129539234,1,21.3,9.4,11.1,49.108696377220575,26.56794431375505,16.527302341248475,16.943583328604834,6.94346926715228,72.4234781206311,33.60896172,44.61,19.65,12.92,17.82,10.45,23.31,9.06,9.51,16.1,5.56,1.67,0.73,26.48,9.85
Texas,14.2,0.019658918288638628,13.4,13.3,7.6,44.2,688.0,53207,republican,123.0,32101064,10.0,109.0,3.115161541062938,1,14.2,5.9,7.8,49.92089616735594,28.46202111275837,12.913321416534467,13.23823017715352,39.28887995875812,41.09640364638037,15.30099885,42.86,20.93,10.29,14.37,8.57,18.42,9.75,7.48,14.95,4.3,1.32,0.58,21.02,7.9
Utah,13.6,0.021598725468862746,7.3,20.8,2.9,49.4,723.0,60727,republican,44.0,3574825,0.0,0.0,0.0,1,13.1,2.3,10.3,50.63739691630465,30.907660273411977,11.338399540557774,1.5007999434832469,15.107665023742516,77.07079393248806,9.41754089,27.71,13.03,10.31,7.94,8.14,10.0,7.17,8.28,12.81,7.56,2.14,0.63,29.93,10.89
Vermont,11.6,0.009082121120726322,9.4,18.1,,67.1,731.0,55176,republican,70.0,642805,0.0,0.0,0.0,1,11.8,,10.7,49.73496584418978,25.44187912949345,20.17836923115209,1.4205146390931602,2.4299463710229325,92.10154665472146,61.10451448999999,59.07,25.43,25.33,13.94,9.52,17.8,11.14,13.03,20.58,5.99,1.76,0.71,27.02,10.27
Virginia,13.4,0.035149661426072176,9.2,13.5,6.4,52.5,717.0,65015,democrat,226.0,8940572,3.0,21.0,3.3554900066796622,0,13.6,5.1,8.1,49.44795143514797,26.716943803386123,15.865189072422025,19.960431589290643,10.5361429344001,60.29326888955706,24.54598311,50.02,20.75,13.27,12.87,8.7,17.48,10.23,8.5,16.31,5.25,1.26,0.56,23.25,8.26
Washington,10.9,0.011622581181201528,9.5,15.2,4.2,51.3,730.0,61062,democrat,121.0,8074082,3.0,15.0,3.715592682858559,0,11.2,2.7,8.0,50.376098799595994,27.41491237177597,15.791489127026685,4.43143342939914,13.791985206676983,66.39710243915322,15.95158925,52.34,18.99,20.7,12.31,8.6,15.03,10.76,10.55,18.49,5.62,1.36,0.58,27.99,10.68
West Virginia,18.1,0.019790555935932114,15.8,19.4,7.0,122.2,695.0,41751,democrat,73.0,1764892,0.0,0.0,0.0,0,18.1,4.9,12.3,49.9440153341051,24.152722596259576,20.345821132620586,3.710672586268295,1.946346260972269,91.5865596613458,51.278309590000006,37.76,19.24,12.76,24.44,11.2,30.37,8.14,11.89,18.06,6.62,1.98,0.61,29.33,12.13
Wisconsin,12.2,0.010931305879768104,10.0,14.5,6.1,71.5,732.0,53357,democrat,111.0,5988406,2.0,8.0,3.339786914915255,0,12.2,4.3,7.5,50.09098309223803,25.743585395221057,17.519629623348653,6.652754930723964,7.6100022046229245,80.28887343768548,29.846178629999997,57.04,28.1,14.04,14.5,10.89,18.58,11.97,9.78,18.61,5.53,1.79,0.57,24.81,8.95
Wyoming,25.9,0.22917540272133496,9.2,30.5,4.9,60.4,719.0,58840,republican,6.1,590784,0.0,0.0,0.0,1,26.7,3.1,22.2,51.215585530689125,25.786270219366276,17.43903030135165,1.2135081985375582,10.282967261245291,83.66870706846888,35.24198671,51.73,22.81,10.8,16.93,12.36,22.99,11.74,8.51,17.85,6.48,1.88,0.69,24.89,10.13
