state,year,top1_income_share,top10_income_share,bottom90_income_share
Indiana,2017,15.149999999999997,41.99,57.86
Indiana,2018,15.379999999999994,42.059999999999995,57.879999999999995
Iowa,2014,13.449999999999996,39.0,61.040000000000006
Iowa,2015,13.309999999999999,38.71,61.3
Iowa,2016,13.089999999999991,38.78,61.21
Iowa,2017,13.789999999999992,40.129999999999995,59.699999999999996
Iowa,2018,13.789999999999992,38.31,61.64000000000001
Kansas,2014,16.969999999999995,41.71,58.31000000000001
Kansas,2015,16.12,41.199999999999996,58.80000000000001
Kansas,2016,15.70999999999999,41.58,58.410000000000004
Kansas,2017,15.569999999999995,41.79,58.08
Kansas,2018,17.299999999999994,42.41,57.58
Kentucky,2014,15.639999999999999,45.129999999999995,54.93
Kentucky,2015,15.979999999999993,45.42,54.6
Kentucky,2016,16.23,46.39,53.61
Kentucky,2017,15.54,45.5,54.300000000000004
Kentucky,2018,17.819999999999993,47.5,52.470000000000006
Louisiana,2014,18.04,45.72,54.31
Louisiana,2015,16.04,44.05,55.95
Louisiana,2016,17.409999999999993,47.02,52.96000000000001
Louisiana,2017,16.70999999999999,45.94,53.89000000000001
Louisiana,2018,16.989999999999995,45.75,54.18000000000001
Maine,2014,13.649999999999995,42.75,57.300000000000004
Maine,2015,13.569999999999993,42.54,57.46
Maine,2016,14.849999999999996,44.15,55.83
Maine,2017,14.389999999999992,43.830000000000005,55.96
Maine,2018,14.489999999999991,43.8,56.120000000000005
Maryland,2014,15.59999999999999,42.6,57.42
Maryland,2015,15.439999999999998,42.19,57.800000000000004
Maryland,2016,15.369999999999994,42.19,57.790000000000006
Maryland,2017,15.43,42.86,56.99000000000001
Maryland,2018,15.739999999999998,43.15,56.790000000000006
Massachusetts,2014,25.569999999999993,54.54,45.440000000000005
Massachusetts,2015,24.97999999999999,53.910000000000004,46.089999999999996
Massachusetts,2016,23.880000000000003,53.449999999999996,46.54
Massachusetts,2017,25.939999999999998,55.75,44.32
Massachusetts,2018,25.619999999999997,55.470000000000006,44.55
Michigan,2014,18.209999999999994,48.55,51.480000000000004
Michigan,2015,18.209999999999994,48.05,51.96000000000001
Michigan,2016,19.499999999999996,50.34,49.669999999999995
Michigan,2017,18.86,49.669999999999995,50.2
Michigan,2018,20.119999999999994,50.519999999999996,49.44
Minnesota,2014,17.769999999999996,44.56,55.44
Minnesota,2015,17.61999999999999,44.5,55.480000000000004
Minnesota,2016,17.489999999999995,44.36,55.63
Minnesota,2017,17.36,44.7,55.2
Minnesota,2018,17.71999999999999,45.43,54.54
Mississippi,2014,14.629999999999999,44.5,55.55
Mississippi,2015,14.739999999999998,45.17,54.84
Mississippi,2016,15.669999999999995,46.83,53.17000000000001
Mississippi,2017,14.69999999999999,45.4,54.36
Mississippi,2018,15.079999999999993,45.68,54.22
Missouri,2014,17.86,45.47,54.57000000000001
Missouri,2015,17.97,45.89,54.120000000000005
Missouri,2016,17.779999999999994,45.89,54.11
Missouri,2017,17.00999999999999,44.97,54.910000000000004
Missouri,2018,19.129999999999992,47.48,52.49
Montana,2014,16.849999999999998,44.45,55.57
Montana,2015,15.749999999999996,42.55,57.45
Montana,2016,15.479999999999993,42.9,57.09000000000001
Montana,2017,16.279999999999994,43.94,55.94
Montana,2018,16.579999999999995,44.5,55.45
Nebraska,2014,15.949999999999998,39.26,60.77
Nebraska,2015,13.789999999999992,36.6,63.39
Nebraska,2016,14.159999999999995,37.86,62.13000000000001
Nebraska,2017,14.439999999999998,39.0,60.88
Nebraska,2018,14.719999999999999,38.2,61.77
Nevada,2014,24.91,52.410000000000004,47.61
Nevada,2015,25.259999999999994,52.31,47.75
Nevada,2016,28.799999999999994,56.300000000000004,43.85
Nevada,2017,26.729999999999997,54.470000000000006,45.67
Nevada,2018,31.16,59.02,41.11
New Hampshire,2014,16.379999999999995,42.65,57.37
New Hampshire,2015,16.489999999999995,43.19,56.82000000000001
New Hampshire,2016,17.349999999999998,44.1,55.92
New Hampshire,2017,17.499999999999993,45.08,54.85
New Hampshire,2018,17.909999999999993,46.07,53.89000000000001
New Jersey,2014,20.619999999999994,49.99,49.99
New Jersey,2015,20.38,49.86,50.11
New Jersey,2016,20.039999999999992,50.019999999999996,49.95
New Jersey,2017,20.919999999999995,50.970000000000006,48.949999999999996
New Jersey,2018,19.66,49.65,50.3
New Mexico,2014,14.71,44.89,55.18000000000001
New Mexico,2015,13.989999999999991,44.25,55.769999999999996
