state,year,veterans,veteran_pct
Idaho,2014,132270,10.802603993541469
Idaho,2015,126181,10.154856716091192
Idaho,2016,127823,10.05919534621644
Idaho,2017,127741,9.811249745580787
Idaho,2018,130967,9.82891871162191
Idaho,2019,130112,9.523189132415746
Idaho,2020,127658,9.003587808925724
Idaho,2021,122672,8.363410759696476
Idaho,2022,123796,8.257321939906365
Idaho,2023,122284,8.01111614100623
Illinois,2014,711814,7.071562446787986
Illinois,2015,690528,6.8582584086982825
Illinois,2016,671934,6.6787512251792185
Illinois,2017,664332,6.6068009079811345
Illinois,2018,636705,6.343894784038261
Illinois,2019,621258,6.20356064318088
Illinois,2020,615271,6.096404220262081
Illinois,2021,600345,5.973201112247468
Illinois,2022,633066,6.330893609974208
Illinois,2023,621229,6.204124751414663
Indiana,2014,477447,9.355140774738668
Indiana,2015,453907,8.860011824878583
Indiana,2016,452275,8.777851033012018
Indiana,2017,442308,8.536551237777541
Indiana,2018,433785,8.312441326564342
Indiana,2019,422948,8.05415188303705
Indiana,2020,409294,7.753828899870325
Indiana,2021,398655,7.505023681050754
Indiana,2022,378687,7.099139787929586
Indiana,2023,371365,6.91521968412679
Iowa,2014,228867,9.44733188940446
Iowa,2015,227947,9.366885538398572
Iowa,2016,219461,8.983280351896076
Iowa,2017,210365,8.57302609298798
Iowa,2018,213951,8.692940528294281
Iowa,2019,200461,8.10841092765324
Iowa,2020,194389,7.802669595241708
Iowa,2021,188606,7.533184298723194
Iowa,2022,185254,7.382643411476744
Iowa,2023,181635,7.204576086844424
Kansas,2014,218317,9.841963803507848
Kansas,2015,212002,9.510611858544442
Kansas,2016,205668,9.200949675008758
Kansas,2017,204229,9.121083727429975
Kansas,2018,207508,9.238796999176332
Kansas,2019,205167,9.117382517051182
Kansas,2020,194432,8.57797570150028
Kansas,2021,185728,8.166761498799135
Kansas,2022,184213,8.085361700035815
Kansas,2023,181272,7.922931579092293
Kentucky,2014,320421,9.264369384711554
Kentucky,2015,317543,9.142174235745754
Kentucky,2016,316699,9.085964049076411
Kentucky,2017,306365,8.74393470069009
Kentucky,2018,298408,8.49189279329682
Kentucky,2019,291588,8.273142984576877
Kentucky,2020,285676,8.068949699980454
Kentucky,2021,279893,7.895877876291435
Kentucky,2022,267897,7.542661280036895
Kentucky,2023,262161,7.344484303802078
Louisiana,2014,316388,8.807609350450363
Louisiana,2015,304741,8.435687986312052
Louisiana,2016,298914,8.239486876840463
Louisiana,2017,297086,8.187356263236873
Louisiana,2018,302186,8.330774070077682
Louisiana,2019,293798,8.09850361347878
Louisiana,2020,282959,7.841475053845207
Louisiana,2021,276139,7.6785048911925164
Louisiana,2022,262995,7.363050947961838
Louisiana,2023,257383,7.21227052452418
Maine,2014,128863,11.84584398524406
Maine,2015,124931,11.474402542295046
Maine,2016,121054,11.067784166597333
Maine,2017,120994,11.01041491302706
Maine,2018,116361,10.527187159040945
Maine,2019,114691,10.31963692182554
Maine,2020,113082,10.041468720863117
Maine,2021,111163,9.73206891057349
Maine,2022,109984,9.52973449763195
Maine,2023,106833,9.189492807228211
Maryland,2014,425527,9.073770726013393
Maryland,2015,414620,8.787891183771036
Maryland,2016,409615,8.646949697536723
Maryland,2017,403663,8.478211603381599
Maryland,2018,401539,8.404225104194945
Maryland,2019,386904,8.074455350330489
Maryland,2020,379383,7.799683475730878
Maryland,2021,372500,7.634434188000555
Maryland,2022,365490,7.4943406440183065
Maryland,2023,360099,7.350673840857163
Massachusetts,2014,376098,6.892411288367303
Massachusetts,2015,367165,6.680539690591659
Massachusetts,2016,357035,6.452594077099314
Massachusetts,2017,344717,6.183456455240674
Massachusetts,2018,340236,6.07150230940721
Massachusetts,2019,327999,5.832548100441763
Massachusetts,2020,311197,5.464260285313693
Massachusetts,2021,298807,5.231689428418053
Massachusetts,2022,282888,4.9487782349483584
Massachusetts,2023,273934,4.769442861018031
Michigan,2014,655019,8.358075069925073
Michigan,2015,642902,8.179890357492797
Michigan,2016,630606,7.989486311071604
Michigan,2017,618046,7.79386975798809
Michigan,2018,603795,7.589344913946699
Michigan,2019,594266,7.458270889906837
Michigan,2020,559646,6.977439761878906
Michigan,2021,542369,6.7679977698272555
Michigan,2022,519927,6.475285967604577
Michigan,2023,499734,6.2036857838997435
Minnesota,2014,364076,8.584847511644895
Minnesota,2015,361235,8.461334137847357
Minnesota,2016,352634,8.193652692328962
Minnesota,2017,342844,7.895714407115548
Minnesota,2018,334812,7.646899485245987
Minnesota,2019,322421,7.313823814563996
Minnesota,2020,313634,7.039686193318545
Minnesota,2021,305276,6.820176261686586
Minnesota,2022,305876,6.825037513875951
Minnesota,2023,295703,6.549570018556557
Mississippi,2014,213020,9.258430247972246
Mississippi,2015,206241,8.949544497124304
Mississippi,2016,203066,8.79069787576677
Mississippi,2017,198735,8.572752248818812
Mississippi,2018,193350,8.346975144275103
Mississippi,2019,193516,8.34958527349858
Mississippi,2020,191660,8.334641555185147
Mississippi,2021,187405,8.155649507910638
Mississippi,2022,187302,8.16353748932715
Mississippi,2023,182437,7.924790572106833
Missouri,2014,482668,10.174165350106607
Missouri,2015,478117,10.035480806487294
Missouri,2016,475089,9.931365173108894
Missouri,2017,454324,9.44960173582281
Missouri,2018,440514,9.127610506882268
Missouri,2019,435737,8.997082855332916
Missouri,2020,425126,8.782464571192593
Missouri,2021,417236,8.578268507065975
Missouri,2022,401716,8.237018191048971
Missouri,2023,391556,7.983753397452497
Montana,2014,100037,12.354075151682805
Montana,2015,92380,11.301232027579019
Montana,2016,94511,11.432570202326893
Montana,2017,96059,11.476020887865708
Montana,2018,91382,10.80809371067397
Montana,2019,91386,10.70224008544366
Montana,2020,91726,10.587417817832607
Montana,2021,88982,10.057804513589826
Montana,2022,91034,10.113057301844222
Montana,2023,88542,9.714389786845604
Nebraska,2014,148180,10.310504983735454
Nebraska,2015,138623,9.585810928085845
Nebraska,2016,140683,9.651402984132604
Nebraska,2017,134449,9.16615023599007
Nebraska,2018,132593,8.990824941566723
Nebraska,2019,133136,8.981154120398571
Nebraska,2020,126532,8.422226925939091
Nebraska,2021,121547,8.066056360927602
Nebraska,2022,123348,8.149926725453687
Nebraska,2023,120419,7.8937708047360395
Nevada,2014,230307,10.493345380038464
Nevada,2015,222806,9.960058024269165
Nevada,2016,224120,9.824925026423227
Nevada,2017,216167,9.28531665100264
Nevada,2018,233107,9.793810967898608
