state,chr_release_year,unemployment_rate,pct_frequent_mental_distress,income_inequality,social_associations,pct_uninsured,drug_overdose_deaths,pct_excessive_drinking,pct_adult_smoking
Nebraska,2023,2.51429879,12.28016172,4.1418127191,13.553184637,9.48756449,8.8429553191,23.20479718,14.499999999999998
Nevada,2019,5.02969339,14.397031730000002,4.2616493259,4.2618206852,13.14619749,22.199715436,17.62246305,16.4775461
Nevada,2020,4.56011448,11.58542108,4.2711573695,4.2260957913,13.105958140000002,22.6135691,19.30241023,17.58640131
Nevada,2021,3.88847649,13.32498777,4.3184252206,4.4061545113,12.94080336,22.068376412,17.93865276,15.72420179
Nevada,2022,12.833004440000002,15.20604025,4.3300315504,4.2887438169,13.477178940000002,23.419920031,19.5095249,15.3191509
Nevada,2023,7.231836510000001,18.21696224,4.3848829525,4.2284591552,13.812892500000002,23.419920031,19.90432768,14.099999999999998
New Hampshire,2019,2.67135132,13.61931573,4.260218509,10.421075896,7.24908877,34.179948196,20.08400378,18.00979493
New Hampshire,2020,2.52563177,12.67454734,4.3235770333,10.351542864,7.02210663,34.704594492,20.73347979,15.66527419
New Hampshire,2021,2.54350979,15.09912001,4.330830695,10.446324177,7.065818760000001,32.668434605,20.20901071,16.622466659999997
New Hampshire,2022,6.68399564,15.33465184,4.3033883324,10.369850652,7.7011292,30.667903834,20.78627764,16.947645480000002
New Hampshire,2023,3.5054532399999996,14.7729667,4.312080073,10.31271157,7.85123428,30.667903834,19.86907977,14.7
New Jersey,2019,4.6278943,10.68116548,5.2260364226,8.3895421852,9.15255326,23.022785013,17.14463847,13.97079235
New Jersey,2020,4.146017710000001,11.98688768,5.236009017,8.5068874586,8.95784869,28.448953452,18.05530223,13.73893182
New Jersey,2021,3.55638734,11.18009316,5.2308151969,8.6669839659,8.74240704,31.310229742,15.98576015,13.21504933
New Jersey,2022,9.78619927,11.18009316,5.1460779002,8.6746624425,9.2836507,32.03604413,15.98576015,13.21504933
New Jersey,2023,6.34383939,12.721999810000002,5.1281490528,8.5371349609,8.72236074,32.03604413,18.62536085,11.1
New Mexico,2019,6.15218617,12.51592393,5.2047685835,8.2027279957,11.16396361,23.887970216,16.6121556,16.6211912
New Mexico,2020,4.94905154,14.209901659999998,5.2120081946,8.3043192996,10.99907515,24.423287173,16.17338999,17.48559441
New Mexico,2021,4.86421085,14.7382918,5.1472673337,8.1463071029,11.51437418,25.938139845,16.73749163,15.87770531
New Mexico,2022,8.418717019999999,15.209359889999998,5.1471659122,8.2219389373,12.08639243,30.48308062,17.39487313,16.49255685
New Mexico,2023,6.787525060000001,13.61783027,5.2079254518,8.0662045967,11.84152598,30.48308062,17.51674472,16.900000000000002
New York,2019,4.69333416,10.78692477,5.7160238157,7.9603798152,7.06768596,17.364736189,18.75191553,14.17557169
New York,2020,4.11132249,11.83372892,5.7355735325,7.9750525444,6.6337408,19.033802196,18.81306943,14.09140114
New York,2021,3.96065495,11.1091587,5.7460588492,8.1014382765,6.32813757,19.092476393,19.174581099999997,12.960593370000002
New York,2022,9.99192178,12.08676944,5.7288356243,8.1229344077,6.1847755300000005,21.049998401,18.987384839999997,12.88221562
New York,2023,6.939370929999999,13.06578283,5.7685441562,8.0701146872,6.095107990000001,21.049998401,17.63578875,12.3
